day,truck,cans,prediction,hours
WEDNESDAY,TRUCK 1,1461,22131.20976,6.15
WEDNESDAY,TRUCK 2,1381,22208.10481,6.17
WEDNESDAY,TRUCK 4,1292,22232.27058,6.18
WEDNESDAY,TRUCK 3,1291,21253.01496,5.9
WEDNESDAY,TRUCK 5,1226,22032.91801,6.12
WEDNESDAY,TRUCK 6,1256,22171.07491,6.16
