day,truck,cans,prediction,hours
TUESDAY,TRUCK 1,1391,26059.92566,7.24
TUESDAY,TRUCK 2,1470,25707.3513,7.14
TUESDAY,TRUCK 3,1458,26030.50224,7.23
TUESDAY,TRUCK 4,1121,25072.14248,6.96
TUESDAY,TRUCK 5,1237,25698.04022,7.13
TUESDAY,TRUCK 6,1207,25817.02009,7.17
