centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cansperout	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs_secs	predsecs	time_obs	difference	time_obs_days	time_obs_ex2
9628440466	9628440466.00000000_R	5	25	10	12	9.96	0.833333333	40.49	3.68977	-4.21721	1565.017113	0	0:03:48	3.48	1.28175	228	206.7619	208.8	-2.0381	0.002638889	3.8
9647876636	9647876636.00000000_R	5	25	10	9	7.47	1	20.87	3.26874	0.92232	2276.875527	0	0:04:30	4.3	1.16458	270	196.54587	258	-61.45413	0.003125	4.5
9649225577	9649225577.00000000_R	5	25	9	4	3.32	1	46.72	1.19828	-6.63629	452.0597738	1	0:03:49	3.49	1.0003	229	103.02097	209.4	-106.37903	0.002650463	3.816666667
9658873662	9658873662.00000000_R	5	20	9	5	4.15	1	18.13	2.06823	-6.04425	1455.929166	0	0:02:58	2.58	1.03723	178	118.1585	154.8	-36.6415	0.002060185	2.966666667
9647794025	9647794025.00000000_R	5	25	9	5	4.15	1	34.97	1.58415	5.29855	754.9241448	0	0:02:51	2.51	1.00016	171	86.20059	150.6	-64.39941	0.001979167	2.85
9628456150	9628456150.00000000_R	5	25	9	10	8.3	0.9	65.38	2.8491	-4.33376	807.6126844	0	0:02:53	2.53	1.05547	173	151.72905	151.8	-0.07095	0.002002315	2.883333333
9639938060	9639938060.00000000_R	5	25	9	13	10.79	0.692307692	120.12	3.48634	-7.87495	571.4322734	0	0:03:07	3.07	1	187	180.56412	184.2	-3.63588	0.002164352	3.116666667
9628148627	9628148627.00000000_R	4	30	9	7	5.81	1	49.96	2.01763	2.29793	739.7950381	0	0:03:31	3.31	1.00397	211	106.47575	198.6	-92.12425	0.00244213	3.516666667
9657030682	9657030682.00000000_R	5	25	9	10	8.3	0.9	63.31	2.86107	-5.99557	833.9497223	0	0:02:55	2.55	1.00127	175	152.75994	153	-0.24006	0.002025463	2.916666667
9649041105	9649041105.00000000_R	4	35	9	9	7.47	1	67.78	2.46142	0.71319	701.0752099	0	0:02:45	2.45	1	165	125.82753	147	-21.17247	0.001909722	2.75
9649590044	9649590044.00000000_R	5	25	8	0	0	1	0	0.43281	3.99082	952.1862139	0	0:02:03	2.03	1.00104	123	5.41015	121.8	-116.38985	0.001423611	2.05
9645319297	9645319297.00000000_R	5	25	8	10	8.3	0.8	30.16	3.27787	-1.48493	1750.919574	0	0:02:55	2.55	1.32444	175	188.65207	153	35.65207	0.002025463	2.916666667
9740734263	9740734263.00000000_R	5	25	8	13	10.79	0.615384615	17.66	4.99361	5.14481	3887.411938	0	0:04:37	4.37	5.43168	277	310.35856	262.2	48.15856	0.003206019	4.616666667
9658783375	9658783375.00000000_R	5	20	8	7	5.81	1	21.98	2.69282	4.40075	1681.533307	0	0:01:30	1.3	2.97378	90	152.37557	78	74.37557	0.001041667	1.5
9649034433	9649034433.00000000_R	4	30	8	8	6.64	1	76.15	2.19571	-3.96612	554.698141	0	0:03:05	3.05	1.00006	185	111.9239	183	-71.0761	0.002141204	3.083333333
9657054047	9657054047.00000000_R	5	25	8	7	5.81	1	40.86	2.14856	0.44221	904.545166	0	0:02:18	2.18	1.00003	138	117.44352	130.8	-13.35648	0.001597222	2.3
9645936450	9645936450.00000000_R	10	20	8	10	8.3	0.8	52.9	3.04908	7.11386	998.0521822	0	0:02:39	2.39	1.00095	159	163.70235	143.4	20.30235	0.001840278	2.65
9645408235	9645408235.00000000_R	4	25	8	9	7.47	0.888888889	37.86	2.80427	-3.42618	1255.04084	0	0:02:57	2.57	1.19963	177	156.54911	154.2	2.34911	0.002048611	2.95
9628330331	9628330331.00000000_R	4	30	8	13	10.79	0.615384615	86.76	3.52629	4.9294	791.170741	0	0:02:30	2.3	1.06434	150	184.64605	138	46.64605	0.001736111	2.5
9659907665	9659907665.00000000_R	5	25	8	17	14.11	0.470588235	55.96	4.94845	5.05014	1603.917091	0	0:02:46	2.46	1.42156	166	271.75065	147.6	124.15065	0.001921296	2.766666667
9639919774	9639919774.00000000_R	5	25	8	16	13.28	0.5	111.39	4.31595	-6.19692	758.4409228	0	0:02:25	2.25	1.00661	145	225.96371	135	90.96371	0.001678241	2.416666667
9645739868	9645739868.00000000_R	10	20	8	9	7.47	0.888888889	43.07	2.86073	6.70653	1103.402098	0	0:02:27	2.27	1.01545	147	155.13275	136.2	18.93275	0.001701389	2.45
9645526497	9645526497.00000000_R	5	25	8	3	2.49	1	56.16	0.8728	0	282.0492683	0	0:02:31	2.31	0	151	42.30482	138.6	-96.29518	0.001747685	2.516666667
9657230694	9657230694.00000000_R	5	25	8	6	4.98	1	52.07	1.76576	5.75239	608.442391	0	0:02:35	2.35	1.00017	155	93.16021	141	-47.83979	0.001793981	2.583333333
9658676566	9658676566.00000000_R	5	25	7	4	3.32	1	32.32	1.28985	-1.22415	653.5126248	0	0:03:02	3.02	1.01724	182	69.53791	181.2	-111.66209	0.002106481	3.033333333
9649766645	9649766645.00000000_R	5	20	7	5	4.15	1	26.43	1.80862	8.60846	999.0172495	0	0:03:08	3.08	1.11007	188	100.27401	184.8	-84.52599	0.002175926	3.133333333
9649214772	9649214772.00000000_R	5	20	7	5	4.15	1	54.82	1.51464	7.05965	481.6099406	0	0:01:46	1.46	1.00039	106	80.0216	87.6	-7.5784	0.001226852	1.766666667
9740401260	9740401260.00000000_R	5	25	7	6	4.98	1	39.92	1.84992	5.29242	793.5876906	0	0:01:17	1.17	1.00871	77	100.40719	70.2	30.20719	0.000891204	1.283333333
9647854003	9647854003.00000000_R	5	25	7	9	7.47	0.777777778	65.2	2.56507	1.64657	728.7887	0	0:01:59	1.59	1.0017	119	135.95049	95.4	40.55049	0.001377315	1.983333333
9639929924	9639929924.00000000_R	5	25	7	0	0	1	0	0.2559	-7.81546	562.9868144	0	0:02:22	2.22	1.00395	142	3.19879	133.2	-130.00121	0.001643519	2.366666667
9649639518	9649639518.00000000_R	5	25	7	3	2.49	1	49.05	0.89139	12.38643	322.9341481	0	0:02:20	2.2	1.00011	140	43.90514	132	-88.09486	0.00162037	2.333333333
9647846326	9647846326.00000000_R	5	25	7	7	5.81	1	53.37	2.05217	5.05424	692.4876569	0	0:02:30	2.3	1.00067	150	109.14314	138	-28.85686	0.001736111	2.5
