day,truck,cans,prediction,hours
MONDAY,TRUCK 1,1324,22283.60992,6.19
MONDAY,TRUCK 2,1285,22067.37415,6.13
MONDAY,TRUCK 3,1339,21976.08886,6.1
MONDAY,TRUCK 4,1411,21734.99728,6.04
MONDAY,TRUCK 5,1307,21015.44093,5.84
MONDAY,TRUCK 6,1349,21289.83095,5.91
