centerline_id	name	road_class	speed_limit	cans_out	cans_actual	cans_per	cans_density	est_time	slope	length	backuponly	time_obs_format	time_obs_raw	sinuosityindex	time_obs	time_obs_days	time_obs_ex2	time_obs_ex22
9628762534	9628762534.00000000_L	5	25	8.3	10	8.3	82.63	2.77245	2.97348	638.9818043	0	0:00:00	0	1.00447	0	0	0	0
9638659161	9638659161.00000000_L	5	20	8.3	10	8.3	83.86	2.83973	-5.87669	629.6062607	0	0:00:00	0	1.04107	0	0	0	0
9617749448	9617749448.00000000_L	5	25	8.3	10	8.3	72.37	2.81365	-3.28936	729.6249287	0	0:00:00	0	1.03704	0	0	0	0
9649523775	9649523775.00000000_L	5	25	8.3	10	8.3	57.99	2.89583	0.32951	910.430184	0	0:00:00	0	1.00003	0	0	0	0
9654281857	9654281857.00000000_L	5	30	8.3	10	8.3	46.3	2.91394	-3.42011	1140.312543	0	0:00:00	0	1.11559	0	0	0	0
9648189162	9648189162.00000000_L	4	25	8.3	10	8.3	77.11	2.79322	0.5842	684.6949875	0	0:00:00	0	1.0001	0	0	0	0
9656386057	9656386057.00000000_L	5	5	8.3	10	8.3	80.46	3.97336	-3.65742	656.2002686	0	0:00:00	0	1.00341	0	0	0	0
9654266700	9654266700.00000000_L	5	25	8.3	10	8.3	45.15	3.01357	0.51306	1169.448143	0	0:00:00	0	1.00018	0	0	0	0
9654251248	9654251248.00000000_L	5	25	8.3	10	8.3	39.6	3.08799	0.15002	1333.16931	0	0:00:00	0	1.00008	0	0	0	0
9628928432	9628928432.00000000_L	10	20	8.3	10	8.3	118.61	2.73492	8.53655	445.1445251	0	0:00:00	0	1.05899	0	0	0	0
9658306158	9658306158.00000000_L	10	20	8.3	10	8.3	98.84	2.78554	2.24626	534.2219638	0	0:00:00	0	1.06055	0	0	0	0
9648222942	9648222942.00000000_L	4	25	8.3	10	8.3	70.69	2.82149	3.88285	746.8749795	0	0:00:00	0	1.00075	0	0	0	0
9656077320	9656077320.00000000_L	5	25	8.3	10	8.3	214.87	2.5937	2.4417	245.7308705	0	0:00:00	0	1.00424	0	0	0	0
9740560435	9740560435.00000000_L	4	35	8.3	10	8.3	20.09	3.33551	-4.67894	2628.798712	0	0:00:00	0	1.32882	0	0	0	0
9658408347	9658408347.00000000_L	10	20	8.3	10	8.3	61.57	2.96927	4.19781	857.5900481	0	0:00:00	0	1.00332	0	0	0	0
9617613003	9617613003.00000000_L	5	25	8.3	10	8.3	67.43	2.83792	-5.74693	783.0270885	0	0:00:00	0	1.12423	0	0	0	0
9658416755	9658416755.00000000_L	10	20	8.3	10	8.3	52.85	3.04965	-2.80263	999.0631913	0	0:00:00	0	1.1164	0	0	0	0
9629603516	9629603516.00000000_L	5	25	8.3	10	8.3	55.5	2.91446	-4.41454	951.4020757	0	0:00:00	0	1.03873	0	0	0	0
9658419367	9658419367.00000000_L	10	20	8.3	10	8.3	64.16	2.94959	-0.9721	822.9594501	0	0:00:00	0	1.03038	0	0	0	0
9656093694	9656093694.00000000_L	5	30	8.3	10	8.3	46.32	2.91376	-0.78959	1139.836734	0	0:00:00	0	1.00034	0	0	0	0
9658470154	9658470154.00000000_L	10	20	8.3	10	8.3	83.72	2.84034	-1.10993	630.6706857	0	0:00:00	0	1.03502	0	0	0	0
9638035123	9638035123.00000000_L	5	25	8.3	10	8.3	64.65	2.8532	4.7756	816.6505529	0	0:00:00	0	1.00005	0	0	0	0
9668180684	9668180684.00000000_L	5	25	7.47	9	7.47	36.39	2.82731	-9.42005	1305.725174	0	0:04:17	4.17	1.03265	250.2	0.002974537	257	4.283333333
9638513467	9638513467.00000000_L	5	20	7.47	9	7.47	34.7	3.01186	0.36513	1369.386865	0	0:00:00	0	1.18992	0	0	0	0
